Sample;Location_river;Subpopulation;Population
C18_019_3;Vindelaven;Baltic Sea;Baltic Sea
C18_019_4;Vindelaven;Baltic Sea;Baltic Sea
C18_079_3;Ljungan;Baltic Sea;Baltic Sea
C18_093_3;Helgean;Baltic Sea;Baltic Sea
C18_093_4;Helgean;Baltic Sea;Baltic Sea
C18_095_5;Slupia;Baltic Sea;Baltic Sea
C18_102_3;Narraguagus;North America;North America
C18_102_4;Narraguagus;North America;North America
C18_103_1;Margaree;North America;North America
C18_103_5;Margaree;North America;North America
C18_104_2;Minija;Baltic Sea;Baltic Sea
C18_105_4;Vasalemma;Baltic Sea;Baltic Sea
C18_105_7;Vasalemma;Baltic Sea;Baltic Sea
C18_106_3;Kunda;Baltic Sea;Baltic Sea
C18_107_2;Spey;Scotland;Europe
C18_107_3;Spey;Scotland;Europe
C18_108_3;Laxá;Iceland;Iceland
C18_108_4;Laxá;Iceland;Iceland
C18_110_3;Simojoki;Baltic Sea;Baltic Sea
C18_110_4;Simojoki;Baltic Sea;Baltic Sea
C18_133_1c;Hofsá;Iceland;Iceland
C18_133_2;Hofsá;Iceland;Iceland
C18_133_3;Hofsá;Iceland;Iceland
C19_002_1;Gaula;Norway;Europe
C19_002_14;Gaula;Norway;Europe
C19_002_16;Gaula;Norway;Europe
C19_002_2;Gaula;Norway;Europe
C19_002_5;Gaula;Norway;Europe
C19_004_5;Varzuga;Russia;Russia
C19_004_7;Varzuga;Russia;Russia
C19_008_10;Ponoy;Russia;Russia
C19_008_16;Ponoy;Russia;Russia
C19_010_1;Yokanga;Russia;Russia
C19_011_2;Kharlovka;Russia;Russia
C19_011_3;Kharlovka;Russia;Russia
C19_012_1;Voronya;Russia;Russia
C19_012_2;Voronya;Russia;Russia
C19_013_1;Strelna;Russia;Russia
C19_013_2;Strelna;Russia;Russia
C19_014_1;Litza;Russia;Russia
C19_014_2;Litza;Russia;Russia
C19_015_1;Chavanga;Russia;Russia
C19_152_1;Göta älv;Sweden;Europe
C19_153_1;Kungsbacka;Sweden;Europe
C19_154_1;Örekilsälven;Sweden;Europe
C19_155_1;Orkla;Norway;Europe
C19_216_1;Moy;Ireland;Europe
Cuni_ENN1;Tay;Scotland;Europe
Cuni_ENN10;Tay;Scotland;Europe
Cuni_ENN2;Tay;Scotland;Europe
Cuni_ENN4;Tay;Scotland;Europe
Cuni_ENN5;Tay;Scotland;Europe
Cuni_ENN7;Tay;Scotland;Europe
Cuni_ENN8;Tay;Scotland;Europe
Cuni_ENN9;Tay;Scotland;Europe
Cuni_WIN1;Moy;Ireland;Europe
Cuni_WIN2;Moy;Ireland;Europe
Cuni_WIN3;Moy;Ireland;Europe
Cuni_WIN4;Moy;Ireland;Europe
Cuni_WIN5;Moy;Ireland;Europe
Cuni_WIN6;Moy;Ireland;Europe
Cuni_WIN7;Moy;Ireland;Europe
